track_id,artist_id,audio_path,text,split,y_genre,y_tags,y_valence,y_arousal,duration_s
fma_000002,awol,data/raw/fma/fma_small/000/000002.mp3,Food by AWOL. genre: Hip-Hop.,train,3,[],,,30.0
fma_000005,awol,data/raw/fma/fma_small/000/000005.mp3,This World by AWOL. genre: Hip-Hop.,train,3,[],,,30.0
fma_000010,kurt_vile,data/raw/fma/fma_small/000/000010.mp3,Freeway by Kurt Vile. genre: Pop.,test,6,[],,,30.0
fma_000140,alec_k_redfearn_the_eyesores,data/raw/fma/fma_small/000/000140.mp3,Queen Of The Wires by Alec K. Redfearn & the Eyesores. genre: Folk.,train,2,[],,,30.0
fma_000141,alec_k_redfearn_the_eyesores,data/raw/fma/fma_small/000/000141.mp3,Ohio by Alec K. Redfearn & the Eyesores. genre: Folk.,train,2,[],,,30.0
fma_000148,contradiction,data/raw/fma/fma_small/000/000148.mp3,Blackout 2 by Contradiction. genre: Experimental.,val,1,[],,,30.0
fma_000182,ariel_pink_s_haunted_graffiti,data/raw/fma/fma_small/000/000182.mp3,Jules Lost His Jewels by Ariel Pink's Haunted Graffiti. genre: Rock.,test,7,[],,,30.0
fma_000190,ed_askew,data/raw/fma/fma_small/000/000190.mp3,Castle Of Stars by Ed Askew. genre: Folk.,train,2,[],,,30.0
fma_000193,ed_askew,data/raw/fma/fma_small/000/000193.mp3,Here With You by Ed Askew. genre: Folk.,train,2,[],,,30.0
fma_000194,ed_askew,data/raw/fma/fma_small/000/000194.mp3,All I want to Do by Ed Askew. genre: Folk.,train,2,[],,,30.0
fma_000197,ed_askew,data/raw/fma/fma_small/000/000197.mp3,Piano 2 by Ed Askew. genre: Folk.,train,2,[],,,30.0
fma_000200,ed_askew,data/raw/fma/fma_small/000/000200.mp3,Baby Come Home by Ed Askew. genre: Folk.,train,2,[],,,30.0
fma_000203,ed_askew,data/raw/fma/fma_small/000/000203.mp3,Song For R by Ed Askew. genre: Folk.,train,2,[],,,30.0
fma_000204,ed_askew,data/raw/fma/fma_small/000/000204.mp3,My Dream by Ed Askew. genre: Folk.,train,2,[],,,30.0
fma_000207,ed_askew,data/raw/fma/fma_small/000/000207.mp3,Piano 3 by Ed Askew. genre: Folk.,train,2,[],,,30.0
fma_000210,ed_askew,data/raw/fma/fma_small/000/000210.mp3,In the French Court by Ed Askew. genre: Folk.,train,2,[],,,30.0
fma_000211,ed_askew,data/raw/fma/fma_small/000/000211.mp3,In America by Ed Askew. genre: Folk.,train,2,[],,,30.0
fma_000212,ed_askew,data/raw/fma/fma_small/000/000212.mp3,When I Arive by Ed Askew. genre: Folk.,train,2,[],,,30.0
fma_000213,au,data/raw/fma/fma_small/000/000213.mp3,Boute by Au. genre: Pop.,train,6,[],,,30.0
fma_000255,bird_names,data/raw/fma/fma_small/000/000255.mp3,We Want to be Old by Bird Names. genre: Rock.,train,7,[],,,30.0
fma_000256,black_elk,data/raw/fma/fma_small/000/000256.mp3,Toggle by Black Elk. genre: Rock.,train,7,[],,,30.0
fma_000368,blah_blah_blah,data/raw/fma/fma_small/000/000368.mp3,Vampires by Blah Blah Blah. genre: Rock.,train,7,[],,,30.0
